City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,hermanus,-34.4187,19.2345,23.78,79,93,3.38,ZA,2024-02-03 20:12:06
91,prince george,53.9166,-122.753,-2.31,54,0,2.57,CA,2024-02-03 20:19:47
92,muroto-misakicho,33.2833,134.15,9.12,88,100,7.97,JP,2024-02-03 20:19:48
93,colonia,50.9333,6.95,11.44,89,100,4.63,DE,2024-02-03 20:17:04
94,katsuura,35.1333,140.3,7.63,89,100,4.92,JP,2024-02-03 20:19:48
95,ust-nera,64.5667,143.2,-24.82,99,100,2.19,RU,2024-02-03 20:12:01
96,bubaque,11.2833,-15.8333,26.31,77,0,5.49,GW,2024-02-03 20:12:04
97,sao vicente,-23.9631,-46.3919,31.1,51,100,2.24,BR,2024-02-03 20:12:39
98,papatowai,-46.5619,169.4708,14.42,58,100,6.44,NZ,2024-02-03 20:12:07
99,gadzhiyevo,69.2551,33.3362,-5.16,80,91,12.01,RU,2024-02-03 20:12:13
100,ribeira brava,32.65,-17.0667,19.45,68,97,2.67,PT,2024-02-03 20:15:04
101,bilibino,68.0546,166.4372,-29.21,83,7,3.19,RU,2024-02-03 20:12:03
102,iquitos,-3.7481,-73.2472,29.02,84,75,2.57,PE,2024-02-03 20:18:47
103,omurtag,43.1,26.4167,4.55,77,61,6.23,BG,2024-02-03 20:19:50
104,talnakh,69.4865,88.3972,-14.33,96,100,3.79,RU,2024-02-03 20:12:28
105,isfahan,32.6572,51.6776,-3.2,31,0,2.47,IR,2024-02-03 20:19:50
106,mejit,10.2753,170.8646,26.62,78,69,9.53,MH,2024-02-03 20:12:27
107,lospalos,-8.5186,127.0025,23.2,94,46,1.61,TL,2024-02-03 20:12:30
108,egilsstadir,65.2653,-14.3948,-7.61,65,26,3.08,IS,2024-02-03 20:12:21
109,saudarkrokur,65.7461,-19.6394,-5.24,93,100,4.74,IS,2024-02-03 20:12:12
110,klyuchi,52.2667,79.1667,-5.31,79,100,6.33,RU,2024-02-03 20:12:29
111,ghat,24.9647,10.1728,12.19,23,0,2.54,LY,2024-02-03 20:19:51
112,margaret river,-33.95,115.0667,16.52,55,99,6.78,AU,2024-02-03 20:12:13
113,codrington,-38.2667,141.9667,13.82,86,0,1.8,AU,2024-02-03 20:12:44
114,khanty-mansiysk,61.0042,69.0019,-24.94,77,20,0.0,RU,2024-02-03 20:19:52
115,olonkinbyen,70.9221,-8.7187,-5.32,68,100,7.73,SJ,2024-02-03 20:12:02
116,roma,43.2128,-75.4557,2.75,64,100,4.63,US,2024-02-03 20:19:52
117,labrador city,52.9463,-66.9114,-13.03,82,6,0.34,CA,2024-02-03 20:12:27
118,tostado,-29.232,-61.7692,42.21,25,5,4.08,AR,2024-02-03 20:19:53
119,caleta de carquin,-11.0925,-77.6267,25.32,79,76,4.54,PE,2024-02-03 20:12:33
120,ilulissat,69.2167,-51.1,-20.99,49,25,4.63,GL,2024-02-03 20:12:17
121,coahuayana de hidalgo,18.7,-103.6583,29.57,43,0,3.8,MX,2024-02-03 20:19:53
122,petropavlovsk-kamchatsky,53.0452,158.6483,-19.57,85,20,3.58,RU,2024-02-03 20:12:08
123,al kharj,24.155,47.3346,11.32,32,1,3.83,SA,2024-02-03 20:19:54
124,el porvenir,13.7617,-87.3458,28.63,38,0,4.12,HN,2024-02-03 20:19:54
125,chinhoyi,-17.3667,30.2,20.44,78,91,2.07,ZW,2024-02-03 20:19:54
126,tha khanon,9.0302,98.9529,22.39,95,44,0.65,TH,2024-02-03 20:19:55
127,portland,45.5234,-122.6762,12.6,70,40,1.54,US,2024-02-03 20:09:00
128,gisborne,-38.6533,178.0042,16.35,60,2,4.82,NZ,2024-02-03 20:19:55
129,atherton,53.5237,-2.4935,8.45,92,100,5.08,GB,2024-02-03 20:19:55
130,kodiak,57.79,-152.4072,-4.27,86,100,2.57,US,2024-02-03 20:11:59
131,bardai,11.65,7.2333,19.8,16,3,5.25,NG,2024-02-03 20:12:31
132,alofi,-19.0595,-169.9187,28.94,84,75,4.12,NU,2024-02-03 20:19:56
133,west island,-12.1568,96.8225,27.99,83,100,3.09,CC,2024-02-03 20:12:02
134,kwekwe,-18.9281,29.8149,20.41,70,3,3.81,ZW,2024-02-03 20:19:56
135,glace bay,46.1969,-59.957,-1.06,97,100,8.05,CA,2024-02-03 20:12:37
136,sao joao da barra,-21.6403,-41.0511,30.05,83,94,4.11,BR,2024-02-03 20:11:11
